시군구,행정동,소계,1인가구 (가구),2인가구 (가구),3인가구 (가구),4인가구 (가구),5인가구 (가구),6인가구 (가구),7인이상가구 (가구),평균 가구원수 (명)
강남구,개포1동,2328,550,654,528,474,95,23,X,-
강남구,개포4동,7798,2280,2095,1717,1371,273,49,13,-
강남구,일원본동,7486,923,1765,2119,2196,411,60,12,-
강남구,일원1동,6789,2631,1839,1214,846,196,52,11,-
강남구,일원2동,6874,1927,1899,1611,1205,206,24,X,-
강남구,수서동,7377,3083,2453,1141,544,128,23,5,-
강남구,세곡동,16739,4891,4233,3376,3042,933,204,60,-
강남구,압구정동,9202,1822,2676,2384,1817,404,79,20,-
강남구,청담동,10254,3203,2715,2211,1628,384,87,26,-
강남구,대치2동,11972,1807,2567,3426,3446,623,85,18,-
강남구,개포2동,7427,1058,2081,2147,1792,290,49,10,-
송파구,소계,255766,73694,66503,57189,46703,9457,1803,417,2.5
송파구,풍납1동,5776,1869,1655,1172,854,171,45,10,-
송파구,풍납2동,9807,2880,2485,2345,1672,338,75,12,-
송파구,거여1동,5022,1396,1455,1096,848,172,39,16,-
송파구,거여2동,6811,1883,2056,1516,1081,231,34,10,-
송파구,마천1동,7899,2403,2291,1607,1164,354,60,20,-
송파구,마천2동,7786,2296,2385,1656,1104,265,62,18,-
송파구,방이1동,5752,1381,1383,1386,1275,251,60,16,-
송파구,방이2동,13074,6641,3137,1826,1177,232,53,8,-
